file_name,cwe,line
indianewzportal.com.js,CWE-798,13
indianpostofficerecruitment.com.js,CWE-798,13
indogamers.com.js,CWE-798,4
infobrisas.com.js,CWE-798,3
infomerlo.com.js,CWE-798,31
instalei.com.js,CWE-798,6
jaipurbazar.in.js,CWE-798,1
jajiga.com.js,CWE-798,7
jharnet.com.js,CWE-798,13
jkchrome.com.js,CWE-798,13
jntukexams.net.js,CWE-798,13
jobforfresher.in.js,CWE-798,13
jyadadekho.com.js,CWE-798,13
kalyanpanelchart.in.js,CWE-798,13
kannadaanews.com.js,CWE-798,13
kannadabindu.com.js,CWE-798,13
kannadapdf.com.js,CWE-798,13
kannadasiri.in.js,CWE-798,13
kasamba.com.js,CWE-798,1
katmoviehd.hair.js,CWE-798,13
khaledalsabt.com.js,CWE-798,1
kishanyojana.com.js,CWE-798,13
klapp.mobi.js,CWE-798,40
kommersant.com.js,CWE-798,5
kommersant.ru.js,CWE-798,5
konig.market.js,CWE-798,1
korabia.net.js,CWE-798,2
koton.ir.js,CWE-798,5
krepsinis.net.js,CWE-798,6
kuali.com.js,CWE-798,1
kvkbuldhana.org.js,CWE-798,13
kvsadmission.co.in.js,CWE-798,13
lawctopus.com.js,CWE-798,5
leadingdigitalgovs.org.js,CWE-798,13
legamart.com.js,CWE-798,9
legamart.com.js,CWE-798,19
lelynx.fr.js,CWE-798,15
lesarion.com.js,CWE-798,18
licmerchant.co.in.js,CWE-798,13
lifepal.co.id.js,CWE-798,4
lih.kg.js,CWE-798,1
lihkg.com.js,CWE-798,1
localbeautyclub.com.js,CWE-798,5
magazindan.info.js,CWE-798,7
mahatmapost.com.js,CWE-798,13
mahitisiri.com.js,CWE-798,13
mandikerates.in.js,CWE-798,13
manyzone.com.js,CWE-798,26
mapatisserie.net.js,CWE-798,13
marugujarat.in.js,CWE-798,13
matariya.com.js,CWE-798,13
matkaguessing.in.js,CWE-798,1
mdg.ca.js,CWE-798,12
meetmyage.com.js,CWE-798,34
metrolibre.com.js,CWE-798,1
mh-live.com.js,CWE-798,13
mhadalotteryinfo.com.js,CWE-798,13
miacademico.com.js,CWE-798,11
minascap.com.js,CWE-798,12
mitsde.com.js,CWE-798,2
modrsbook.com.js,CWE-798,16
mojeppk.pl.js,CWE-798,8
mothercityliquor.co.za.js,CWE-798,2
mr7.ru.js,CWE-798,6
