file_name,cwe,line
egwwritings.org.js,CWE-20,329
egriz.com.js,CWE-20,37
egopvp.com.js,CWE-20,37
eeveeexpo.com.js,CWE-20,37
educationgalaxy.in.js,CWE-20,99
edivaldobrito.com.br.js,CWE-20,29
edanz.com.js,CWE-20,3
ectunnel.com.js,CWE-20,6
ebookdz.com.js,CWE-20,37
easycrypto.nz.js,CWE-20,1676
easycrypto.nz.js,CWE-20,1006
easthamptonchamber.com.js,CWE-20,99
eastgatefuneral.com.js,CWE-20,413
easterneuropeanwomen.info.js,CWE-20,1957
ealvinsmall.com.js,CWE-20,413
eaglecolleyville.com.js,CWE-20,10
e-steki.gr.js,CWE-20,37
e-sadownictwo.pl.js,CWE-20,7
dwdrums.com.js,CWE-20,3
dvxuser.com.js,CWE-20,37
dublininquirer.com.js,CWE-20,67
dublininquirer.com.js,CWE-20,29
dt.no.js,CWE-20,2745
dt.no.js,CWE-20,485
droidforums.net.js,CWE-20,37
dreamindemon.com.js,CWE-20,37
dralexandrebertoncini.com.br.js,CWE-20,413
drahtlos-dsl.de.js,CWE-20,413
dragonbyte-tech.com.js,CWE-20,37
dr1.com.js,CWE-20,37
dotalkhalij.com.js,CWE-20,99
doqi.fr.js,CWE-20,1243
donorview.com.js,CWE-20,413
doncolombia.com.js,CWE-20,37
don-shina.ru.js,CWE-20,54
domoplius.lt.js,CWE-20,30
doktersehat.com.js,CWE-20,34
dogforum.co.uk.js,CWE-20,37
dodystories.info.js,CWE-20,103
dodge-forum.eu.js,CWE-20,6
dobreknjige.si.js,CWE-20,774
dntbras.com.br.js,CWE-20,413
dns-core.net.js,CWE-20,1891
dnforum.com.js,CWE-20,37
dn.ca.js,CWE-20,37
dmc.rip.js,CWE-20,37
dlsofficial.com.js,CWE-20,99
dlsfleet.com.au.js,CWE-20,413
dld-conference.com.js,CWE-20,1891
dk.com.js,CWE-20,1912
diyaudio.com.js,CWE-20,37
disboards.com.js,CWE-20,37
dineout.co.in.js,CWE-20,107
dibalik.com.js,CWE-20,37
diarioinfoya.com.ar.js,CWE-20,112
dharwadsciencecentre.org.js,CWE-20,99
dhani.com.js,CWE-20,1989
dfimoveis.com.br.js,CWE-20,6
dewabiz.com.js,CWE-20,673
zzlpolitics.com.js,CWE-20,37
zyzoom.net.js,CWE-20,37
zurich-airport.com.js,CWE-20,42
zumvu.com.js,CWE-20,14
zoovilleforum.net.js,CWE-20,37
zoomtventertainment.com.js,CWE-20,167
zonalendir.sbs.js,CWE-20,37
zix.vn.js,CWE-20,37
zerotohundred.com.js,CWE-20,6
zergpool.com.js,CWE-20,1258
zenox.pl.js,CWE-20,1261
devil-cars.pl.js,CWE-20,309
zene.download.js,CWE-20,30
zeewaterforum.info.js,CWE-20,37
zeanhuay789.com.js,CWE-20,1930
zealousweb.com.js,CWE-20,141
zawodykonne.com.js,CWE-20,1930
zastudentsportal.co.za.js,CWE-20,99
zaber.com.js,CWE-20,1239
yuvagalam.com.js,CWE-20,99
youthcouncilofindia.org.js,CWE-20,99
yoursurgecard.com.js,CWE-20,20
yojanajankari.link.js,CWE-20,99
yojanablog.com.js,CWE-20,99
yod100.com.js,CWE-20,1930
ynoproject.net.js,CWE-20,5
yitake.in.js,CWE-20,100
yindeelotto.com.js,CWE-20,1930
yesplay.bet.js,CWE-20,1223
yepdesk.com.js,CWE-20,188
yduqs.com.br.js,CWE-20,10
yai168.com.js,CWE-20,1930
xxxtoi.pro.js,CWE-20,100
xtremepape.rs.js,CWE-20,6
xstoregames.com.js,CWE-20,90
xss.is.js,CWE-20,37
xs650.com.js,CWE-20,37
xpoff.com.js,CWE-20,37
xpeng.cr.js,CWE-20,179
xorbit.space.js,CWE-20,1246
xn--v3coi4b5e.com.js,CWE-20,1930
xn--o3coktt2k.com.js,CWE-20,1930
xn--o3cdoacolg0kya1d8d8exc.com.js,CWE-20,1930
xn--mgbpf9fin.com.js,CWE-20,37
xn--lnforum-exa.se.js,CWE-20,37
xn--b3c1cencu9bwo.com.js,CWE-20,1930
xn--95-nsia7btl5aua8wod.com.js,CWE-20,1930
xn--889-dkl3a3jub9hl.com.js,CWE-20,1930
xn--72crv9bb1acjv1hqfra.com.js,CWE-20,1930
xn--72c5a8amicy3d6g.com.js,CWE-20,1930
xn--72c1a0btt2k1b.com.js,CWE-20,1930
xn--72c0a2e4a3c.com.js,CWE-20,1930
xn--42cl2evb9ayg.net.js,CWE-20,1930
xn--168-ill5d9b1hrd.com.js,CWE-20,1930
xn--12c4b8ai.net.js,CWE-20,1930
xn--1000-pho7b7ab9a5q0c.website.js,CWE-20,1930
xn--100-illyh3a1ap3gui.site.js,CWE-20,1930
xn--100-7ml1b2ab5a0qtc.site.js,CWE-20,1930
xn--100-3mle3c8a5a5dvn.net.js,CWE-20,1930
xn--100-3ml1bfb3b9a6f.com.js,CWE-20,1930
xn--100-1klyfam3k5d6dsdq.com.js,CWE-20,1930
xn--100-1kl4i3a1a0a5n.com.js,CWE-20,1930
xn--100-1kl1e3c8a5a9q.net.js,CWE-20,1930
xn--100-1kl1e3c8a5a9q.life.js,CWE-20,1930
xn--100-1kl1e1c8a5av.com.js,CWE-20,1930
xiaomi.eu.js,CWE-20,37
xenforo.info.js,CWE-20,37
xenforo.com.js,CWE-20,37
xenbulletins.com.js,CWE-20,37
xen-factory.com.js,CWE-20,37
xdaforums.com.js,CWE-20,37
xbunker.nu.js,CWE-20,37
xamvn.cfd.js,CWE-20,37
wy88lotto.vip.js,CWE-20,1930
wxug.com.js,CWE-20,1989
ww2aircraft.net.js,CWE-20,6
writingforums.com.js,CWE-20,37
writerssanctum.com.js,CWE-20,37
wps.com.js,CWE-20,99
wp1.app.js,CWE-20,709
wormhole.app.js,CWE-20,188
wormhole.app.js,CWE-20,111
worldwidedx.com.js,CWE-20,37
worldofplayers.ru.js,CWE-20,37
